


2022-08-18 17:09:21 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:22 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:24 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:24 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:26 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:26 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:28 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:29 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:46 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:46 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:48 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:48 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:50 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:50 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:52 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:52 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:54 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:55 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:57 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:57 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:09:59 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:09:59 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:10:01 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:10:01 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:10:03 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:10:04 [BARCODE] SERIAL ttyS4 OPEN FAIL



2022-08-18 17:13:18 [SYSTEM] Core Program Start
2022-08-18 17:13:18 [CUP] ERROR : Disconnected 1
2022-08-18 17:13:18 [CUP] ERROR : Disconnected 2
2022-08-18 17:13:18 [ROBOT] ERROR : DISCONNECTED
2022-08-18 17:13:18 [ICE] ERROR : DISCONNECTED 1
